D,e,n,n,i,s, ,P,r,a,g,e,r
F,a,y,e, ,W,o,o,d,r,u,f,f
D,o,u,g, ,L,u,s,s,e,n,h,o,p
B,i,l,l,y, ,C,o,n,n,o,l,l,y
T,h,a,n,d,i,e, ,N,e,w,t,o,n
D,a,v,i,d, ,F,o,l,e,y
P,h,i,l, ,S,i,m,m,s
W,i,l,l,i,a,m, ,K,a,t,t
G,a,b,e, ,D,e,l,a,h,a,y,e
L,i,l,a, ,R,o,s,e
J,a,h,n,a,v,i, ,H,a,r,r,i,s,o,n
M,a,t,t, ,L,a,u,e,r
T,o,m,m,y, ,W,i,s,e,a,u
S,e,n,., ,K,a,m,a,l,a, ,H,a,r,r,i,s
R,y,a,n, ,N,a,s,s,i,c,h,u,k
f,o,r,m,e,r, ,G,o,v,., ,J,e,n,n,i,f,e,r, ,G,r,a,n,h,o,l,m
R,a,c,h,e,l, ,B,u,r,n,s
S,u,g,a,r
R,i,c,h, ,F,u,l,c,h,e,r
T,i,n,a, ,S,e,e,l,i,g
Y,o,u,r, ,p,l,a,c,e, ,o,r, ,s,p,i,n,e,?,:
G,a,r,r,e,t,t, ,W,a,t,t,s
M,i,k,e, ,F,l,o,r,i,o
K,a,b,u,i
D,r,., ,T,h,o,m,a,s, ,O,’,B,r,y,a,n
T,r,e,v,o,r, ,M,o,o,r,e
C,h,r,i,s,t,o,p,h,e,r, ,C,o,y,n,e
W,i,l,l,i,a,m, ,B,l,a,c,k
T,h,e, ,P,e,o,p,l,e
C,h,r,i,s,t,o,p,h,e,r, ,H,a,d,n,a,g,y
P,e,t,e,r, ,G,o,d,f,r,e,y,-,S,m,i,t,h
M,a,x, ,K,e,i,s,e,r
D,i,r,k, ,N,o,w,i,t,z,k,i
L,o,b,s,t,e,r, ,D,r,e,a,m,s
K,e,v,i,n, ,M,i,l,l,a,r
S,a,m,m, ,L,e,v,i,n,e
S,h,a,n,e, ,M,a,u,s,s
G,a,y, ,D,i,l,l,i,n,g,h,a,m
D,e,b,r,a, ,S,a,t,z
S,p,a,c,e, ,W,a,r,r,i,o,r
J,o,h,n, ,A,v,l,o,n
C,a,r,l,y, ,F,i,o,r,i,n,a
J,o,h,n, ,R,h,o,d,e,s
N,i,c,k, ,F,l,a,n,a,g,a,n
G,a,r,y, ,C,o,b,b
C,o,r,e,y, ,T,a,y,l,o,r
H,a,l, ,B,i,d,l,a,c,k, ,P,h,D
S,c,o,t,t, ,W,e,i,n,g,e,r
m,u,s,i,c
R,u,t,h, ,F,r,a,z,i,e,r
M,a,r,i,o, ,B,a,t,a,l,i
D,a,n, ,L,e,v,y
R,i,c, ,M,e,y,e,r,s
S,a,m, ,S,i,n,y,a,n,g,w,e
A,l,i, ,R,i,z,v,i
W,e,n,d,y, ,D,o,n,l,i,n
A,n,t,h,o,n,y, ,B,o,u,r,d,a,i,n
J,e,n,n,y, ,W,a,d,e
W,h,i,t,n,e,y, ,M,i,l,l,e,r, ,(,M,i,s,s, ,T,e,x,a,s,)
J,e,s,s,i,e, ,G,l,e,n,n
a,n,d, ,S,t,e,v,e, ,S,i,m,p,s,o,n
F,r,e,d,d,i,e, ,P,r,i,n,z,e, ,J,r,.
W,I,R,E,D,',s, ,C,h,r,i,s, ,A,n,d,e,r,s,o,n
J,o,h,n, ,D,u,r,a,n,t
M,o,l,l,y, ,S,h,a,n,n,o,n
T,r,a,i,l,e,r, ,P,a,r,k, ,B,o,y,s
G,r,e,g, ,P,r,o,o,p,s
B,r,i,a,n, ,G,i,r,g,u,s
F,r,a,n,k, ,C,o,n,w,a,y
P,o,p, ,C,u,l,t,u,r,e, ,H,a,p,p,y, ,H,o,u,r
S,h,i,a, ,L,a,B,e,o,u,f
M,C, ,Y,o,g,i
J,o,h,n, ,F,., ,C,r,o,w,l,e,y
D,u,l,e, ,H,i,l,l
F,o,o,d
L,a,v,e,r,n,e, ,C,o,x
A,n,d,r,i,a,n,a, ,A,l,b,e,r,t
S,a,b,i,n,a
B,o,y,d, ,V,i,c,o
N,e,l,l, ,S,c,o,v,e,l,l
D,r,a,k,e, ,N,e,l,s,o,n
N,i,c,k, ,G,i,l,l,e,s,p,i,e
S,h,a,u,n, ,K,i,n,g
K,a,t,h,y, ,B,a,t,e,s
R,o,s,s, ,M,a,t,h,e,w,s
A,l,i,c,e, ,F,r,a,s,e,r
Y,o,r,a,m, ,B,a,u,m,a,n
B,o,k,i, ,N,a,c,h,b,a,r
D,r,., ,F,r,a,n,k
B,a,r,o,n, ,V,a,u,g,h,n
J,o,r,d,a,n, ,R,o,c,k
T,i,m,o,t,h,y, ,L,e,e
F,a,n, ,Q,u,e,s,t,i,o,n,s
B,i,l,l, ,B,e,t,e,e,t
M,a,s,s,i,m,o
S,a,r,a, ,G,i,l,b,e,r,t
F,r,a,n,k,i,e, ,G,r,a,n,d,e
R,o,b,e,r,t, ,P,a,t,t,i,n,s,o,n
D,o,c, ,S,e,a,r,l,s
S,c,o,t,t, ,C,o,k,e,r
J,a,n,e,t, ,M,o,n,t,g,o,m,e,r,y
M,i,s,t,r,e,s,s, ,J,u,s,t,i,n,e, ,C,r,o,s,s
D,e,r,e,k, ,B,a,r,t,h,o,l,o,m,a,u,s
T,e,r,e,s,a, ,G,i,u,d,i,c,e
R,e,e,d, ,A,g,n,e,w
S,t,e,v,e, ,K,a,r,d,y,n,a,l
J,a,m,e,s, ,D,a,m,o,r,e
N,o,t, ,a,n, ,e,p,i,s,o,d,e
D,a,v,i,d, ,K,r,u,m,h,o,l,t,z
J,i,m, ,W,o,o,d,s
B,a,n,e
L,a,r,r,y, ,M,u,r,p,h,y
T,h,e, ,B,u,t,t,r,e,s,s
S,t,., ,L,e,n,o,x
T,i,m, ,G,u,n,n
J,i,m, ,Y,o,n,g, ,K,i,m
J,o,e,l, ,A,t,w,i,l,l
D,a,v,i,d, ,S,t,e,i,n,b,e,r,g
R,a,v,e,n,-,S,y,m,o,n,e
E,l,i, ,F,i,n,k,e,l
C,h,r,i,s, ,N,i,e,r,a,t,k,o
G,r,a,h,a,m, ,P,r,i,e,s,t
R,e,b,e,c,c,a, ,G,o,l,d,s,t,e,i,n
J,a,c,k, ,C,o,m,s,t,o,c,k
T,h,e, ,N,e,l,m,s, ,B,r,o,t,h,e,r,s
J,o,h,n, ,A,l,l,i,s,o,n
Z,a,l,m,a,y, ,K,h,a,l,i,l,z,a,d
B,a,r,b,a,r,a, ,B,a,r,r,i,e
B,r,y,a,n, ,S,t,e,v,e,n,s,o,n
S,a,r,a,h, ,L,e,v,i,n
T,a,m,a,r, ,B,r,a,x,t,o,n
F,e,l,i,c,i,a, ,M,i,c,h,a,e,l,s
M,a,r,k,-,P,a,u,l, ,G,o,s,s,e,l,a,a,r
L,o,u,i,s, ,C,o,l,e
C,a,r,l,y
R,o,b,e,r,t, ,W,i,s,d,o,m
B,i,l,l, ,W,h,i,t,t,l,e
F,r,a,n,k, ,I,s,o,l,a
R,o,b,e,r,t, ,L,o,p,e,z
R,O,M,A, ,1,0
C,h,a,d, ,Z,u,m,o,c,k
L,o,u, ,B,a,r,l,o,w
L,u,c,a,s, ,B,r,o,t,h,e,r,s
J,e,s,s,i,e, ,M,a,l,t,i,n
2, ,D,o,p,e, ,Q,u,e,e,n,s,', ,P,h,o,e,b,e, ,R,o,b,i,n,s,o,n
T,e,a,m, ,A,l,p,h,a, ,M,a,l,e
L,a,u,r,a, ,K,i,m,b,a,l,l
D,e,i,r,d,r,e, ,B,a,r,r,e,t,t
a, ,s,h,o,r,t, ,a,n,n,o,u,n,c,e,m,e,n,t
G,u,y, ,W,i,n,c,h
F,i,l,m, ,F,e,s,t,i,v,a,l,s
B,a,i,l,e,y, ,J,a,y
D,u,a,n,e, ,L,u,d,w,i,g
A,n,e,e,s,h, ,C,h,o,p,r,a
T,h,e, ,S,h,e,l,f, ,E,p,i,s,o,d,e
E,l,i,z,a,b,e,t,h, ,B,a,c,h,n,e,r
B,i,l,l,y, ,B,r,a,g,g
T,r,a,v,e,r,s,e, ,C,i,t,y, ,F,i,l,m, ,F,e,s,t,i,v,a,l
M,a,r,y, ,J,e,a,n
M,a,r,t,i,n, ,G,i,b,a,l,a
J,u,d,e, ,L,a,w
M,y,q, ,K,a,p,l,a,n
H,o,d,g,e, ,T,w,i,n,s
f,o,r,m,e,r, ,A,l,e,x, ,W,a,g,n,e,r
P,e,n,n, ,J,i,l,l,e,t,t,e, ,d,i,s,c,u,s,s,i,n,g, ,h,i,s, ,j,o,u,r,n,e,y, ,i,n,t,o, ,m,a,g,i,c
M,i,k,e, ,B,a,r,n,i,c,l,e
D,o, ,I,t, ,Y,o,u,r,s,e,l,f, ,C,o,l,o,n,i,c,s
J,a,y, ,J,a,y, ,F,r,a,n,c,h
L,y,m,e, ,D,i,s,e,a,s,e
J,e,n,n,i,f,e,r, ,M,o,r,r,i,s
J,o,n, ,G,a,b,r,u,s
M,i,c,h,a,e,l, ,N,e,e,d,h,a,m
H,o,p,e, ,M,a,t,t,e,r,s
D,a,v,i,d, ,W,a,g,n,e,r
A,n,n, ,D,o,w,d
K,a,t,h,e,r,i,n,e, ,W,a,t,e,r,s,t,o,n
D,a,v,i,d, ,L,e,e, ,R,o,t,h
M,a,r,k, ,S,t,e,e,l
A,l,b,e,r,t,o, ,C,r,a,n,e
H,o,p,e
J,u,s,t,i,n, ,V,e,r,r,i,e,r
S,e,n,., ,J,o,e, ,D,o,n,n,e,l,l,y
B,e,n, ,G,l,e,i,b
w,r,i,t,e,r
B,r,i,a,n, ,W,h,i,t,a,k,e,r
R,a,f,a,e,l, ,N,a,t,a,l
H,a,r,r,i,s,o,n, ,B,a,r,n,e,s
N,i,c,k, ,D,a,v,i,e,s
T,o,m, ,E,v,e,r,e,t,t, ,S,c,o,t,t
M,i,c,h,a,e,l, ,F,e,i,n,s,t,e,i,n
G,e,l,e,k, ,R,i,m,p,o,c,h,e
B,u,r,g,e,r, ,S,a,l,a,d
M,i,k,e, ,B,a,k,e,r
G,e,e,k,d,a,d
B,i,r,d,c,l,o,u,d
B,e,n,j,i, ,A,f,l,a,l,o
S,e,n,a,t,o,r, ,B,e,r,n,i,e, , ,S,a,n,d,e,r
K,a,r,e,n, ,G,r,e,e,n,b,e,r,g
C,h,r,i,s, ,L,o,c,k,e
K,r,i,s,t,e,n, ,J,o,h,n,s,t,o,n
J,e,s,s,i,c,a, ,M,a,k,i,n,s,o,n
M,e,l,i,s,s,a, ,B,e,l,l
S,t,e,p,h,e,n, ,L,a,n,g
J,o,h,n, ,C,l,e,e,s,e
S,h,e,i,l,a, ,C,h,a,l,a,k,e,e
W,i,l,l, ,Y,o,u,n,g
Q,u,e,e,n
N,a,o,m,i, ,K,y,l,e
M,a,c,k,l,e,m,o,r,e
M,o, ,M,a,n,d,e,l
A,l,b,e,r,t,o, ,A,l,e,s,i,n,a
S,y,l,v,i,a, ,M,o,i,r
L,e,s,s
N,e,u,r,o,f,e,e,d,b,a,c,k
K,a,t,i,e, ,M,o,r,g,a,n
F,e,l,i,c,i,a, ,D,a,y
D,J, ,P,a,u,l
E,d, ,H,e,l,m,s
A,n,d,y, ,S,e,r,k,i,s
M,e,t,h,i,o
S,a,r,a, ,W,e,i,n,s,h,e,n,k
E,l,i,s,h,a, ,C,u,t,h,b,e,r,t
W,r,e,c,k, ,i,t, ,R,a,l,p,h
B,e,n, ,O,',B,r,i,e,n
J,u,s,t,i,n, ,K,i,r,k
A,r,d,e,n, ,L,e,i,g,h
Y,u,v,a,l, ,L,e,v,i,n
J,a,s,o,n, ,H,a,i,r,s,t,o,n
D,a,n,i,e,l, ,S,l,o,s,s
f,o,r,m,e,r, ,R,e,p,., ,H,a,r,o,l,d, ,F,o,r,d
M,i,k,e, ,F,i,n,o,i,a
B,i,l,l, ,N,i,g,h,y
K,u,r,t, ,M,e,t,z,g,e,r
J,a,c,k, ,B,l,a,c,k
T,i,m, ,M,c,L,a,u,g,h,l,i,n
M,e,a,g,a,n, ,G,o,o,d
O,a,t,h,k,e,e,p,e,r,s
C,o,m,e,d,y, ,M,u,t,a,n,t
T,h,e, ,W,a,s,h,i,n,g,t,o,n, ,P,o,s,t,',s, ,T,i,m, ,B,o,n,t,e,m,p,s
J,o,s,h, ,R,u,b,e,n
B,l,e,o,n,a
B,e,n,n,e,t,t, ,G,r,u,n,b,e,r,g
J,u,l,i,a,n,n,e, ,H,o,u,g,h
H,a,y,l,e,y, ,M,i,l,l,s
T,h,e, ,M,i,n,i,m,a,l,i,s,t,s
B,u,s,y, ,P,h,i,l,i,p,p,s
S,o,p,h,i,e, ,S,a,n,t,o,s
C,h,a,r,l,e,s, ,R,., ,P,o,l,i,q,u,i,n
L,e,a,h
L,a,d,y, ,G,a,g,a
M,a,t,t,h,e,w, ,R,a,b,i,n,o,w,i,t,z
J,e,n,n,y, ,J,o,h,n,s,o,n
P,e,t,e,r, ,A,n,t,i,c,o
Z,a,c,h,a,r,y, ,L,e,v,i
N,o,r,m,a,n, ,L,e,a,r
M,e,l,i,s,s,a, ,V,i,l,l,a,s,e,ñ,o,r
D,a,n,i,e,l,l,e, ,S,c,h,n,e,i,d,e,r
M,a,t,t, ,I,n,g,e,b,r,e,t,s,o,n
D,a,v,i,d, ,L,y,n,c,h
E,d,w,a,r,d, ,F,r,e,n,k,e,l
L,i,s,a, ,H,a,n,a,w,a,l,t
P,h,o,e,n,i,x, ,M,a,r,i,e
A,h,m,e,d, ,B,h,a,r,o,o,c,h,a
S,o,n,i,a, ,M,a,n,z,a,n,o
#,Y,O,U,L,I,V,E, , ,T,a,w,n,y, ,K,i,t,a,e,n
H,e,r,b,e,r,t, ,G,i,n,t,i,s
C,l,i,n,t, ,S,m,i,t,h
J,a,n,e,t, ,H,e,i,m,l,i,c,h
B,e,r,n,a,d,e,t,t,e, ,P,e,t,e,r,s
L,o,i,s, ,A,m,e,s
J,o,h,n, ,G,r,a,y
M,i,c,h,a,e,l, ,C,h,i,e,s,a
R,o,y,c,e, ,W,h,i,t,e
J,o,e, ,D,e, ,S,e,n,a
F,i,g,h,t,i,n,g
O,Z,Z,Y
R,o,b, ,S,u,d,d,u,t,h
C,h,r,i,s,t,o,p,h,e,r, ,C,a,l,d,w,e,l
D,o,c, ,M,a,r,c
K,u,m,a,i,l, ,N,a,n,j,i,a,n,i
N,o,a,h, ,K,a,g,a,n
D,r,., ,S,t,a,n, ,G,r,o,f
S,u,s,a,n, ,A,t,h,e,y
S,a,m, ,R,i,e,g,e,l
D,o,n,a,l,d, ,H,o,f,f,m,a,n
N,a,t,h,a,n, ,F,i,e,l,d,e,r
J,y, ,H,a,r,r,i,s
C,h,r,i,s, ,R,e,d,d
N,i,p,u,n, ,C,h,o,p,r,a
D,a,v,i,d, ,D,a,i,g,l,e
S,c,o,t,t, ,T,i,p,t,o,n
R,y,a,n, ,L,a,F,l,a,r,e
J,o,n,a,s, ,E,l,r,o,d
K,e,e,g,a,n, ,K,u,h,n
W,i,l,c,o
B,l,a,i,n,e, ,C,a,p,a,t,c,h
N,e,l,l, ,S,t,e,p,h,e,n,s,o,n
t,h,e, ,H,e,a,l,t,h, ,R,a,n,g,e,r
B,l,a,k,e, ,G,r,i,f,f,i,n
R,o,n, ,P,l,a,c,o,n,e
J,u,s,t,i,n, ,W,r,e,n
T,a,y,l,o,r, ,W,i,l,l,i,a,m,s,o,n
H,o,n,u,s, ,F,r,o,m, ,M,a,n, ,M,a,n,/,M,i,s,t,e,r, ,H,e,a,v,e,n,l,y
B,e,n,j,a,m,i,n, ,H,a,r,r,i,s,o,n
N,i,c,k, ,H,a,w,k
J,a,m,e,s, ,B,y,r,k,i,t
C,h,e,r,i, ,O,t,e,r,i
M,a,c, ,M,i,l,l,e,r
L,e,c,r,a,e
S,t,e,v,e,n, ,L,i,n
A,l,d,e,r, ,H,a,m,p,e,l
D,e,b,o,r,a,h, ,S,i,m,p,s,o,n
A,m,a,n,d,a, ,S,e,a,l,e,s
L,o,r,e,n, ,C,o,l,l,i,n,s
R,y,a,n
H,i,l,a,r,y, ,S,w,a,n,k
G,r,e,g, ,N,i,c,o,t,e,r,o
D,a,v,e, ,H,u,n,t,s,b,e,r,g,e,r
R,i,l,e,y, ,R,e,i,d
B,a,s,h,i,r
J,o,y, ,B,e,h,a,r
K,a,t,e, ,B,o,l,i,c,k
N,i,c,o,l,e, ,R,i,c,h,i,e
K,e,i,t,h, ,A,l,b,e,r,s,t,a,d,t
S,t,e,v,e, ,J,o,n,e,s
S,a,l, ,D,i, ,S,t,e,f,a,n,o
S,c,o,t,t, ,H,u,t,c,h,i,s,o,n
C,r,i,s, ,I,t,a,l,i,a
G,r,a,h,a,m, ,R,e,z,n,i,c,k
W,a,r, ,o,f, ,t,h,e, ,P,l,a,n,e,t, ,o,f, ,t,h,e, ,A,p,e,s
J,o,h,n, ,C,., ,R,e,i,l,l,y
C,l,i,n,t, ,H,o,w,a,r,d
S,a,k,y,o,n,g, ,M,i,p,h,a,m, ,R,i,n,p,o,c,h,e
M,a,r,c, ,G,u,g,g,e,n,h,e,i,m
P,a,u,l, ,S,h,a,f,f,e,r
R,a,p,h,a,e,l, ,L,a,t,a,s,t,e,r
L,i,s,a, ,M,a,y
J,i,m, ,M,a,n,z,i
S,e,a,n, ,P,a,y,t,o,n
M,e,r,l,i,n, ,M,a,n,n
D,a,n, ,B,l,a,c,k
R,y,a,n, ,D,o,n,a,h,u,e
C,a,r,o,l, ,B,a,r,t,z
M,a,r,y, ,K,a,t,h,e,r,i,n,e, ,H,a,m
R,e,n,e,e, ,Y,o,u,n,g
O,d,d,b,l,o,c,k, ,F,e,s,t
D,u,c,k,S,a,u,c,e
M,i,k,e, ,B,l,a,c,k
P,a,r,i,s, ,K,e,n,n,e,d,y
&, ,B,a,n,e,',S, ,A,u,d,i,t,i,o,n
G,e,o,r,g,e, ,S,e,l,g,i,n
J,o,s,e, ,A,n,t,o,n,i,o, ,V,a,r,g,a,s
C,a,r,i,d,a,d
J,e,n,n,a,-,L,o,u,i,s,e, ,C,o,l,e,m,a,n
J,o,s,h, ,S,n,e,e,d
J,a,m,e,s, ,S,c,o,t,t, ,P,a,t,t,e,r,s,o,n
J,a,m,e,s, ,G,i,m,i,a,n
M,a,r,g,a,r,e,t, ,D,o,w,n,e,y
A,J, ,H,a,w,k
M,i,k,e, ,P,e,r,r,y
C,h,r,i,s, ,C,u,b,a,s
M,a,t,t, ,L,e,w,i
W,T,F, ,S,h,o,w,s, ,o,f, ,C,h,r,i,s,t,m,a,s, ,P,a,s,t
R,y, ,R,u,s,s,o,-,Y,o,u,n,g
M,a,t,t, ,M,a,r,k,m,a,n
A,f,r,i,k,a, ,B,a,m,b,a,a,t,a,a
C,h,r,i,s, ,H,a,d,f,i,e,l,d
D,o,n,a,l,d, ,t,o, ,t,a,l,k, ,a, ,b,i,t
E,l,i,o,t, ,S,p,i,t,z,e,r
J,o,e, ,E,p,i,s,o,d,e, ,1
W,a,r,r,e,n, ,H,o,l,s,t,e,i,n
J,a,c,o,b, ,W,a,r,d
J,a,s,o,n, ,B,r,e,n,n,a,n
R,y,a,n, ,W,i,l,l,i,a,m,s
R,o,b, ,M,c,D,o,n,a,l,d
L,a,c,i, ,M,o,s,l,e,y
D,a,r,r,e,n, ,B,o,u,s,m,a,n
M,a,r,c, ,A,n,d,r,e,e,s,s,e,n
C,h,e,l,s,e,a, ,D,a,v,i,s,o,n
T,i,m, ,S,c,h,m,i,d,t
T,o,d,d, ,C,o,o,p,e,r
E,r,i,k, ,C,h,a,r,l,e,s, ,N,e,i,l,s,o,n
B,i,l,l,y, ,W,e,s,t
A,n,a,t, ,B,a,n,i,e,l
B,r,a,d, ,B,r,e,e,c,k
F,a,t,i,m,a, ,D,h,o,w,r,e
P,o,r,a,n,g,u,í
A,p,o,l,o, ,O,h,n,o
M,a,t,t,h,e,w, ,H,u,s,s,e,y
M,i,k,e, ,D,r,u,c,k,e,r
T,e,s,s, ,R,a,f,f,e,r,t,y
G,e,n,t,r,y, ,L,e,e
G,u,m,p
N,a,t,h,a,n, ,L,e,e, ,G,r,a,h,a,m
A,i,d,e,n, ,G,o,g,g,i,n,s
S,t,e,v,e, ,W,e,l,l,s
J,a,s,o,n, ,S,t,u,a,r,t
E,r,i,c, ,D,r,y,s,d,a,l,e
J,o,h,n, ,R,o,b,e,r,t,s
J,u,d,i,t,h, ,S,c,h,w,a,r,t,z
B,h,a,s,k,a,r, ,S,u,n,k,a,r,a
S,t,i,x, ,Z,a,d,i,n,i,a
E,d,w,a,r,d, ,C,a,s,t,r,o,n,o,v,a
A,l,i,s,o,n, ,B,r,i,e
T,y, ,D,o,l,l,a, ,$,i,g,n
A,l,l,e,n, ,S,t,r,i,c,k,l,a,n,d, ,W,i,l,l,i,a,m,s
A,l,a,n,a, ,J,o,h,n,s,t,o,n
K,r,i,s, ,T,i,n,k,l,e
G,a,b,r,i,e,l,l,e, ,B,e,r,n,s,t,e,i,n
S,i,e,d,a,h, ,G,a,r,r,e,t,t
J,a,m,e,s, ,S,m,i,t,h
A,m,i, ,H,o,r,o,w,i,t,z
E,r,i,c, ,R,a,u,c,h,w,a,y
S,h,a,n,e, ,B,e,m,i,l,l,e,r
C,e,s,a,r, ,M,i,l,l,a,n
M,a,r,c, ,E,v,a,n, ,J,a,c,k,s,o,n
K,a,t, ,A,g,e,e
G,a,r,y, ,A,n,t,h,o,n,y, ,W,i,l,l,i,a,m,s
S,n,o,w,j,o,b
J,o,h,n, ,L,a,n,d,i,s
A,m,y, ,M,o,r,i,n
M,a,r,i,s,s,a, ,M,a,y,e,r
J,o,s,h,u,a, ,C,o,h,e,n
J,a,m,e,s, ,M,a,s,k,e,l,l
V,i,n, ,D,i,e,s,e,l
L,a,l,a, ,K,e,n,t
J,e,f,f,r,e,y, ,S,a,c,h,s
A,n,d,i, ,O,s,h,o
S,o,m,a
D,r,e,w, ,L,y,n,c,h
J,a,r,r,e,t, ,J,a,c,k
J,u,l,i,e
A,m,b,e,r, ,B,e,n,s,o,n
A,n,o,n,y,p,h,a,n,t
J,o,h,n, ,M,a,y,e,r
E,J, ,D,i,o,n,n,e
M,y, ,F,a,m,i,l,y, ,H,e,a,r,s, ,M,e, ,a, ,B,o,o,k
P,e,t,e,r, ,D,i,a,m,a,n,d,i,s
E,s,t,h,e,r, ,P,o,v,i,t,s,k,y
L,i,l, ,B,i,b,b,y
B,i,l,l,y, ,G,r,a,z,i,a,d,e,i
T,e,g,a,n, ,R,a,i,n, ,Q,u,i,n
A,n,d,r,e, ,E,t,h,i,e,r
J,a,k,e, ,S,p,r,a,g,u,e
D,r,e,w, ,H,a,s,t,i,n,g,s
B,r,i,a,n, ,D,o,m,i,t,r,o,v,i,c
A,m,y, ,C,u,d,d,y
G,o,d,f,r,e,y
J,i,l,l, ,J,e,n,s,e,n
R,i,c,h,a,r,d, ,H,o,v,a,n,n,i,s,i,a,n
R,i,c,h,a,r,d, ,B,a,i,n
C,a,r,s,i,e, ,B,l,a,n,t,o,n, ,R,e,t,u,r,n,s,!
B,i,a,n,n,a, ,G,o,l,o,d,r,y,g,a
W,i,l,l,i,a,m, ,B,y,e,r,s
T,o,m, ,C,h,a,p,p,e,l,l
W,i,l,l, ,L,e,o,n,a,r,d
J,o,n, ,B,r,i,o,n
J,e,r,e,m,y, ,K,o,n,n,e,r
T,h,a,n,i,s,s,a,r,a
C,a,l,l,a, ,R,o,s,e, ,O,s,t,r,a,n,d,e,r
M,a,t,t, ,F,u,l,c,h,i,r,o,n
N,o,r,m, ,M,a,c,d,o,n,a,l,d
R,o,b,e,r,t, ,R,o,w,e,n
T,h,e, ,2,0,1,7, ,O,s,c,a,r,s
P,a,u,l, ,B,e,t,t,a,n,y
J,o,n, ,R,e,e,p
A,l,e,x, ,C,o,r,e,a
M,a,t,t, ,F,a,r,l,e,y, ,I,n, ,S,t,u,d,i,o
V,i,d,e,o,G,a,m,e,D,u,n,k,e,y
E,l,i,s,a,b,e,t,h, ,M,o,s,s
R,o,b,e,r,t, ,C,i,a,l,d,i,n,i
M,o,o,d,y, ,M,c,C,a,r,t,h,y
K,e,e,m,s,t,a,r
E,z,r,a, ,K,l,e,i,n
R,a,n,d,a,l,l, ,C,a,r,l,s,o,n
J,b, ,G,i,l,l
o,n,e, ,o,f, ,T,h,e, ,D,a,i,l,y, ,Z,e,i,t,g,e,i,s,t, ,w,r,i,t,e,r,s, ,J,M, ,M,c,N,a,b
R,o,n, ,G,u,t,m,a,n
J,u,d,i,t,h, ,O,r,l,o,f,f
A,n,a, ,G,a,s,t,e,y,e,r
D,o,r,i,a,n, ,Y,a,t,e,s
S,o,p,h,i,e, ,S,i,m,m,o,n,s
A,l,l,i,s,o,n, ,T,o,l,m,a,n
D,r, ,B,r,u,c,e
G,u,y, ,P,e,a,r,c,e
D,r,., ,S,t,e,v,e
T,e,s,s, ,B,a,r,k,e,r
K,a,t,e, ,D,a,r,l,i,n,g
C,o,n,n,e,r, ,M,o,o,r,e
F,r,a,n,k, ,S,h,a,m,r,o,c,k
R,i,t,a, ,M,o,r,e,n,o
A,a,r,o,n, ,B,o,n,n,e,r,-,J,a,c,k,s,o,n
A,l,e,x, ,H,u,t,h
T,o,d,d, ,B,a,r,r,y
R,u,c,k,a, ,R,u,c,k,a, ,A,l,i
E,r,n,i,e, ,O,',D,o,n,n,e,l,l
L,i,s,a, ,R,i,n,n,a
D,e,e, ,W,a,l,l,a,c,e
B,r,e
T,o,m, ,K,o,n,o,p,k,a
D,a,n,n,a,h, ,P,h,i,r,m,a,n
J,o,h,n, ,B,u,s,h
I,r,a, ,S,a,c,h,s
T,o,m, ,R,h,o,d,e,s
L,o,r,e,n,z,o, ,L,a,m,a,s
J,o,h,n, ,C,a,l,e
T,u,r,n,e,r, ,B, ,S,p,a,r,k,s
K,e,v,i,n, ,C,l,a,r,k
C,h,a,r,l,i,e, ,Z,a,m,o,r,a
D,r,., ,D,a,n, ,E,n,g,l,e, ,M,D
P,a,u,l, ,T,o,u,g,h
R,u,t,h, ,R,e,i,c,h,l
G,a,r,y, ,W,h,i,t,t,a
D,r,., ,J,u,d,i,t,h, ,O,r,l,o,f,f
K,h,l,o,e, ,K,a,r,d,a,s,h,i,a,n
N,i,k,o,l, ,H,a,s,l,e,r
R,a,c,h,e,l, ,M,e,l,v,i,n
D,a,v,i,d, ,F,r,u,m
L,y,n,n,e, ,K,o,p,l,i,t,z
A,n,t,h,o,n,y, ,K,i,n,g
J,a,k,e, ,F,o,g,e,l,n,e,s,t
D,a,n, ,F,l,o,r,e,s
D,a,l,a,i, ,L,a,m,a
D,a,r,r,y,l, ,"""",D,M,C,"""", ,M,c,D,a,n,i,e,l,s
A,n,d,y, ,A,s,h,c,r,a,f,t
N,a,j
A,n,d,y, ,P,e,t,r,a,n,e,k
B,i,l,l, ,H,e,r,e,n,d,a
R,a,m, ,D,e,v
L,i,n,d,s,a,y, ,S,h,e,p,h,e,r,d
D,a,n,i, ,R,o,d,r,i,k
D,a,n, ,H,u,r,l,e,y
N,i,c, ,G,r,e,g,o,r,i,a,d,e,s
R,o,m,a,n, ,A,t,w,o,o,d
J,o,e,l, ,O,s,t,e,e,n
E,m,a,n,u,e,l, ,D,e,r,m,a,n
C,o,u,r,t,n,e,y, ,C,o,n,r,a,d
I,s,m,o, ,L,e,i,k,o,l,a
A,n,d,y, ,P,e,t,e,r,s
R,i,v,a,h, ,W,i,n,t,e,r
S,t,e,v,e,n, ,C,r,o,w,d,e,r
M,i,c,h,a,e,l, ,B,i,l,t,o,n
J,o,r,g,e, ,G,a,r,c,i,a
J,e,f,f,r,e,y, ,L,o,r,d
R,i,c,h,a,r,d, ,D,o,n,n,e,r
M,i,c,h,e,l,l,e, ,B,i,l,o,o,n
